feature_1,feature_2,feature_3,feature_4,feature_5
124.21286061133462,0.8306728279484857,0.6571076213870695,42,2
163.64218414748055,0.8874654804603083,0.7697988832076476,5,34
70.01486872625483,0.719571927147349,0.1224765744155473,20,19
109.30323444213916,0.6125449714708381,0.2585320794372128,57,57
89.07826580622469,0.2448742931340479,0.2368630956234329,59,29
82.00401731994371,0.5201920204869757,0.8756002067734675,54,18
94.21382747909722,0.4106548460396935,0.690183066322838,77,38
114.9228945155962,0.3025359620326761,0.5484961499462728,24,10
121.5797716499871,0.633260681889217,0.3240661891285581,58,18
140.04617542043638,0.3810428539317253,0.8013686428686186,79,25
124.49528687242832,0.9246749981215155,0.4417753618665679,36,17
159.07853505157874,0.9186719724564014,0.8811105936068976,80,49
96.57879246509728,0.3314064644039766,0.6854466239023398,58,37
184.1552667308229,0.1998021706696263,0.480228177168755,51,20
73.5603871157304,0.2736664588172016,0.1635890933744228,63,40
157.1607763231923,0.5496257536109974,0.9284391954209728,73,52
124.2496243077265,0.7557271011771366,0.193850285309684,83,46
142.62967769794773,0.2873749945679124,0.2323419126976963,88,23
88.25030201738039,0.3232302025395077,0.4380635796443338,82,18
95.75319358103424,0.8665046874427302,0.4137817151976324,55,15
174.09679392781976,0.4742638464407746,0.1820763326878647,78,51
195.87400484352167,0.6550165604397126,0.706387027425011,70,32
110.74514316070156,0.310299525315325,0.2198705601894673,27,37
160.00194003701083,0.1917705334832177,0.6295060798804964,23,30
183.93058979848496,0.5642713152716768,0.7288753555186688,53,40
186.29886625550017,0.5294268883448041,0.2396591528749886,69,50
81.05574747807113,0.2374044796838469,0.590858823296876,68,9
75.07712182027471,0.659625608566374,0.7240355377212527,23,4
92.07795454339396,0.5896091069325443,0.6243968395583,46,16
184.15852544582373,0.6887236122736698,0.5874145726519842,39,15
82.78508839829651,0.2300909861121938,0.3159340570899473,66,0
124.7439912506568,0.7763750354217195,0.7084458241173579,77,51
194.52563891956527,0.2998442258199304,0.9007775959999548,26,27
139.31148704649223,0.5674166419294298,0.4330052512353922,24,20
159.94402481356155,0.806766425399457,0.7539636351482647,17,41
111.0170320307882,0.1200973851926255,0.1005269356957237,87,54
159.2451205986059,0.3919262137535678,0.8017444422409693,1,23
178.5013373466585,0.8856301387601,0.2230250151399329,45,6
72.37747605474493,0.8602386468418626,0.4055871820009758,58,24
167.51876094284577,0.5845965333350893,0.3200729413328207,21,0
198.55194155784432,0.8799474467498617,0.1220932794254443,17,56
167.26153506937914,0.954825392218264,0.8641679026426186,56,48
106.45771896837267,0.8437662978664072,0.3831387597983643,33,53
172.6063126986935,0.8687038994528848,0.5276276946285255,43,50
83.41938085509346,0.1888690616383135,0.4947046393066925,75,16
128.22615840286767,0.686173899106892,0.1689450277486443,98,28
188.11741540210244,0.7331652893373877,0.2358086530004897,2,24
108.16983928857834,0.6492167313819667,0.118569928129089,96,54
107.41079401622534,0.8196537355624253,0.5071295299507587,90,1
86.9037143753761,0.1311140978844708,0.2853945966496883,83,9
72.51770452313862,0.7932148610994819,0.3713554479945127,26,21
158.2486192821858,0.7585557406655743,0.1472587958275131,26,0
97.51165508000769,0.3337285539685178,0.7587966556872564,52,12
104.5210657183894,0.331362368939932,0.1459254891099209,55,32
133.90451070644397,0.669072985687115,0.937137941341869,7,40
76.93713086522045,0.4107677154319734,0.2094450479945755,62,17
144.6352887139617,0.8169298102065587,0.5651646011911844,99,19
89.07471473775531,0.5015316088031115,0.0903608011301793,31,30
146.60971979742695,0.8044744733057547,0.7584046606902507,79,23
160.96858680272106,0.9914246052614566,0.2206453530364668,92,53
83.30347574761736,0.3702235055805101,0.5251135805673139,76,33
123.82727841654388,0.2287052454322894,0.7160697888431644,46,18
160.27202050460687,0.9111775927143464,0.1849383364255303,87,46
123.84330503849732,0.587403440998636,0.5459784567682745,70,22
76.49394966299133,0.977266333769574,0.2449554874959014,69,3
139.6665327690165,0.6729439600017075,0.7332764443854302,55,34
156.29330387857254,0.994521722149431,0.7006236742005924,92,49
136.93558456758012,0.5914637237286565,0.2088941308493747,98,24
192.79731827880573,0.5737833405149692,0.825769901900366,87,6
146.2521552652591,0.2218851127649529,0.0677975895647098,85,37
187.44224898742488,0.420134653885493,0.8242132976808036,74,58
87.87171153901087,0.1235967105667359,0.5530134300448445,15,57
88.10592514259861,0.2443556615676842,0.4128984248952642,14,33
174.9608675322381,0.7710734734367465,0.7328722379201029,56,12
121.69798880811936,0.1273597209359099,0.6952361015232229,87,37
91.49604562520126,0.4298887875193699,0.938593557327584,1,15
190.5761154514844,0.8761116275542397,0.3002765437516844,84,1
115.20956176691584,0.7234099457566189,0.0534143051684083,75,58
167.6055734077002,0.7218479278595517,0.890512347483399,76,6
164.3797380955587,0.2697731208597798,0.8221073940841044,90,15
184.8297918567553,0.497713852673581,0.7059657897673303,18,28
151.07738691722915,0.623419666609862,0.5150199046293845,62,3
167.62251642355383,0.9907765368973348,0.6862606207238848,45,32
115.35678445711952,0.2835156027098097,0.7524766011890685,65,21
105.09062592945338,0.3229596115861194,0.3873883491831734,52,44
186.4652083654887,0.3359557753956207,0.7432902727969618,28,29
125.65185468326834,0.7751551719681935,0.7255618872576578,87,46
195.4292061292901,0.5112777946921235,0.6018900903898338,38,55
156.24739471639825,0.1512364945699855,0.4116793315710536,20,3
150.82044362718585,0.5576646165492156,0.6775772173379069,97,2
84.91697648393877,0.2907641481793084,0.0528015720426729,51,28
193.43360363191923,0.8187438202841891,0.747406982052138,59,57
128.48857735239227,0.367598243356545,0.8567749422111622,94,20
145.19064987032715,0.1248454107590532,0.2653841366937541,64,43
123.05778435896656,0.634089204518159,0.1586904658783067,14,30
100.8135074315936,0.85945638603807,0.2482555890143548,97,29
187.439337673093,0.4429145116559928,0.3218870581610884,52,20
144.57833326739717,0.774872479653529,0.8447256577074508,44,52
70.37314251405067,0.5600273304674154,0.538849787214285,16,31
150.2288387706941,0.5868566244659698,0.3080404846457875,64,25
112.46383723037248,0.9634908889555772,0.1745192208136518,30,57
138.5175532934892,0.8235648023487822,0.3111300167940874,82,41
185.1724729104007,0.1290907599612165,0.6024839807671273,10,52
116.44506880032498,0.7384485261081656,0.3417246769077019,45,59
188.1095696195739,0.5185013334071554,0.4616241635218985,88,46
151.03681505293434,0.9527940472555898,0.4497053963149529,78,56
72.05676157005232,0.2992894608911395,0.7953218246583609,99,17
190.82684038668896,0.3403648177159292,0.4337133388126075,59,22
159.8165992772001,0.1733265683895358,0.361128939057952,97,54
199.65197055869243,0.4857569457974079,0.6574744443281947,42,13
92.40426608489273,0.1981168876171614,0.2493338501601758,64,30
87.8276474517541,0.6704080845507261,0.4705212415338983,5,23
191.23741019483128,0.8226669136363641,0.3332891185916147,90,50
160.58636099368704,0.7271204465081607,0.6141700419465511,76,36
78.58002245386812,0.7895902429681935,0.8396244272253313,55,21
168.21019683832063,0.4082087078591678,0.4529201001310656,42,7
168.00390449996203,0.8612663347249099,0.7560116769127307,20,3
189.99318962104283,0.4858918974994983,0.4612691305053953,88,23
162.4982186217013,0.8416088833710869,0.6406063985454182,68,12
86.15522505638141,0.6638465427618644,0.1686568775247519,18,49
72.58441739917343,0.2290807438032204,0.4396833562708833,92,13
